,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
536,8,5,6,487008,Color_Piel
537,8,5,7,795994,Color_Piel
538,8,5,8,384182,Color_Piel
539,8,5,9,27194,Color_Piel
540,8,5,10,18075,Color_Piel
541,8,6,1,26270,Color_Piel
542,8,6,2,18705,Color_Piel
543,8,6,3,105689,Color_Piel
544,8,6,4,245116,Color_Piel
545,8,6,5,305591,Color_Piel
546,8,6,6,567994,Color_Piel
547,8,6,7,454592,Color_Piel
548,8,6,8,423854,Color_Piel
549,8,6,9,13531,Color_Piel
550,8,6,10,27284,Color_Piel
551,8,7,1,28897,Color_Piel
552,8,7,2,38184,Color_Piel
553,8,7,3,42858,Color_Piel
554,8,7,4,182724,Color_Piel
555,8,7,5,519054,Color_Piel
556,8,7,6,327063,Color_Piel
557,8,7,7,570208,Color_Piel
558,8,7,8,330964,Color_Piel
559,8,7,9,45875,Color_Piel
560,8,7,10,10333,Color_Piel
561,8,8,1,33732,Color_Piel
562,8,8,2,43026,Color_Piel
563,8,8,3,44233,Color_Piel
564,8,8,4,159818,Color_Piel
565,8,8,5,504301,Color_Piel
566,8,8,6,342521,Color_Piel
567,8,8,7,429550,Color_Piel
568,8,8,8,469359,Color_Piel
569,8,8,9,54287,Color_Piel
570,8,8,10,38510,Color_Piel
571,8,9,1,22463,Color_Piel
572,8,9,2,13051,Color_Piel
573,8,9,3,10112,Color_Piel
574,8,9,4,35260,Color_Piel
575,8,9,5,115466,Color_Piel
576,8,9,6,122902,Color_Piel
577,8,9,7,287875,Color_Piel
578,8,9,8,197340,Color_Piel
579,8,9,9,54224,Color_Piel
580,8,9,10,4518,Color_Piel
581,8,10,1,26751,Color_Piel
582,8,10,2,6730,Color_Piel
583,8,10,3,33843,Color_Piel
584,8,10,4,35556,Color_Piel
585,8,10,5,110879,Color_Piel
586,8,10,6,76425,Color_Piel
587,8,10,7,78119,Color_Piel
588,8,10,8,125909,Color_Piel
589,8,10,9,31146,Color_Piel
590,8,10,10,56828,Color_Piel
591,9,1,1,146379,Color_Piel
592,9,1,2,87884,Color_Piel
593,9,1,3,157474,Color_Piel
594,9,1,4,76880,Color_Piel
595,9,1,5,67299,Color_Piel
596,9,1,6,11142,Color_Piel
597,9,1,7,4176,Color_Piel
598,9,1,8,2932,Color_Piel
599,9,1,9,9903,Color_Piel
600,9,2,1,11465,Color_Piel
601,9,2,2,21969,Color_Piel
602,9,2,3,50693,Color_Piel
603,9,2,4,75853,Color_Piel
604,9,2,5,102418,Color_Piel
605,9,2,6,23375,Color_Piel
606,9,2,7,24443,Color_Piel
607,9,2,8,2013,Color_Piel
608,9,2,10,988,Color_Piel
609,9,3,1,4273,Color_Piel
610,9,3,2,14579,Color_Piel
611,9,3,3,51328,Color_Piel
612,9,3,4,56725,Color_Piel
613,9,3,5,191375,Color_Piel
614,9,3,6,55177,Color_Piel
615,9,3,7,41184,Color_Piel
616,9,3,8,8603,Color_Piel
617,9,3,9,529,Color_Piel
618,9,4,1,3014,Color_Piel
619,9,4,2,690,Color_Piel
620,9,4,3,9223,Color_Piel
621,9,4,4,34775,Color_Piel
622,9,4,5,100543,Color_Piel
623,9,4,6,89297,Color_Piel
624,9,4,7,79929,Color_Piel
625,9,4,8,28908,Color_Piel
626,9,4,9,835,Color_Piel
627,9,4,10,1383,Color_Piel
628,9,5,1,24731,Color_Piel
629,9,5,2,8919,Color_Piel
